id,codigo,name,serie_id/id,active,sequence,cierre_expediente,procedimiento
subserie_11,"01","Aportes Obligatorios al Sistema de Seguridad Social",gestion_documentos.serie_3,1,11,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_12,"01","Infraestructura Tecnológica",gestion_documentos.serie_4,1,12,"Actualización de la infraestructura","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_13,"01","Certificados de Bomberos",gestion_documentos.serie_5,1,13,"Vigencia de la certificación","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro. <br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_14,"02","Certificados de Disposición Final de Residuos",gestion_documentos.serie_5,1,14,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro. <br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores administrativos y legales, valorados con el numeral I, artículo  2.2.6.1.3.1. del Decreto 1076 de 2015 y no tiene valores secundarios."
subserie_15,"03","Certificados de Re Aprovechables",gestion_documentos.serie_5,1,15,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_16,"04","Certificados Tributarios",gestion_documentos.serie_5,1,16,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro. <br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_17,"01","Comprobantes Contables de Egresos por Cheque",gestion_documentos.serie_6,1,17,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplidos los tiempos de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, la agrupación documental en su soporte original físico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de picado.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores administrativos y contables, valorados con el artículo 28 de la Ley 962 de 2005 que define los tiempos de retención y no tiene valores secundarios."
subserie_18,"02","Comprobantes Contables de Egresos por Transferencia",gestion_documentos.serie_6,1,18,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplidos los tiempos de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, la agrupación documental en su soporte original físico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de picado.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores administrativos y contables, valorados con el artículo 28 de la Ley 962 de 2005 que define los tiempos de retención y no tiene valores secundarios."
subserie_19,"03","Comprobantes Contables de Ingresos",gestion_documentos.serie_6,1,19,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplidos los tiempos de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, la agrupación documental en su soporte original físico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de picado.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores administrativos y contables, valorados con el artículo 28 de la Ley 962 de 2005 que define los tiempos de retención y no tiene valores secundarios. "
subserie_20,"04","Comprobantes de Ajustes Contables",gestion_documentos.serie_6,1,20,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplidos los tiempos de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, la agrupación documental en su soporte original físico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de picado.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores administrativos y contables, valorados con el artículo 28 de la Ley 962 de 2005 que define los tiempos de retención y no tiene valores secundarios."
subserie_21,"01","Comprobantes de Entradas de Almacén",gestion_documentos.serie_7,1,21,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores administrativos y contables, valorados con el artículo 28 de la Ley 962 de 2005 que define los tiempos de retención y no tiene valores secundarios."
subserie_22,"02","Comprobantes de Salidas de Almacén",gestion_documentos.serie_7,1,22,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores administrativos y contables, valorados con el artículo 28 de la Ley 962 de 2005 que define los tiempos de retención y no tiene valores secundarios."
subserie_23,"01","Comunicaciones con Empresas de Seguridad Social",gestion_documentos.serie_8,1,23,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplidos los tiempos de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, la agrupación documental en su soporte original físico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de picado.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_24,"02","Comunicaciones de Gestión de Cobros",gestion_documentos.serie_8,1,24,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_25,"01","Conceptos Jurídicos",gestion_documentos.serie_9,1,25,"Vigencia del concepto","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_26,"01","Conciliaciones Bancarias",gestion_documentos.serie_10,1,26,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplidos los tiempos de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, la agrupación documental en su soporte original físico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de picado.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores administrativos y contables, valorados con el artículo 28 de la Ley 962 de 2005 que define los tiempos de retención y no tiene valores secundarios."
subserie_27,"02","Conciliaciones de Tarjetas de Crédito",gestion_documentos.serie_10,1,27,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_28,"01","Contratos de Aprendizajes",gestion_documentos.serie_11,1,28,"Terminación contrato","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión los documentos en soporte original físico se transfieren al archivo central para ser digitalizados con fines de consulta en el área de Archivo y cumplido el tiempo de retención en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original físico y el digitalizado se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de picado.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_29,"02","Contratos de Compra de Bienes y Servicios",gestion_documentos.serie_11,1,29,"Liquidación del contrato","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores administrativos y legales, valorados con el artículo 1 de la Ley 791 de 2002 que define la prescripción y no tiene valores secundarios."
subserie_30,"03","Contratos de Estudios de Confiabilidad",gestion_documentos.serie_11,1,30,"Liquidación del contrato","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores administrativos y legales, valorados con el artículo 1 de la Ley 791 de 2002 que define la prescripción y no tiene valores secundarios."
subserie_31,"04","Contratos de Prestación de Servicios de Vigilancia",gestion_documentos.serie_11,1,31,"Liquidación del contrato","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores administrativos y legales y fueron valorados con el artículo 55 de la Ley 80 de 1993 que define la prescripción y no tiene valores secundarios."
subserie_32,"05","Contratos de Prestación de Servicios de Vigilancia Electrónica",gestion_documentos.serie_11,1,32,"Liquidación del contrato","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores administrativos y legales, valorados con el artículo 1 de la Ley 791 de 2002 que define la prescripción y no tiene valores secundarios."
subserie_33,"06","Contratos de Seguros de Vida",gestion_documentos.serie_12,1,33,"Vigencia de la póliza","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_34,"01","Contribuciones Especiales",gestion_documentos.serie_13,1,34,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplidos los tiempos de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, la agrupación documental en su soporte original físico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de picado.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores administrativos y contables, valorados con el artículo 28 de la Ley 962 de 2005 que define los tiempos de retención y no tiene valores secundarios."
subserie_35,"01","Convención Colectiva de Trabajo",gestion_documentos.serie_14,1,35,"Vigencia de la convención","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplidos los tiempos de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, la agrupación documental adquiere valores permanentes debido a que es un acuerdo escrito entre trabajadores sindicalizados y sus empleadores, donde se establecen las condiciones generales de trabajo. Este acuerdo es obligatorio para las partes mientras esté vigente y debe ser registrado en el Ministerio de Trabajo. , por lo tanto se procede a la conservación total como fuente de información para la historia,  los documentos en su soporte original electrónico se transfieren al archivo histórico para formar parte de la memoria institucional de VISE LTDA, se aplican procesos de preservación digital a largo plazo.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valor secundario evidencial e histórico."
subserie_36,"01","Convenios Corporativos",gestion_documentos.serie_15,1,36,"Liquidación del convenio","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplidos los tiempos de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, la agrupación documental en su soporte original físico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de picado.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_37,"02","Convenios de Alianzas Estratégicas",gestion_documentos.serie_15,1,37,"Liquidación del convenio","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro. <br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_38,"01","Créditos Bancarios",gestion_documentos.serie_16,1,38,"Cancelación del crédito","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_39,"01","Declaraciones de Activos en el Exterior",gestion_documentos.serie_17,1,39,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro. <br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, contables y fiscales, valorados con el artículo 28 de la Ley 962 de 2005, el Artículo 632 del Estatuto Tributario que define los tiempos de retención, no tiene valores secundarios."
subserie_40,"02","Declaraciones de Impuesto de Industria y Comercio - Ica",gestion_documentos.serie_17,1,40,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplidos los tiempos de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, la agrupación documental en su soporte original físico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de picado.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, contables y fiscales, valorados con el artículo 28 de la Ley 962 de 2005, el Artículo 632 del Estatuto Tributario que define los tiempos de retención, no tiene valores secundarios."
subserie_41,"03","Declaraciones de Renta y Complementarios",gestion_documentos.serie_17,1,41,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, contables y fiscales, valorados con el artículo 28 de la Ley 962 de 2005, el Artículo 632 del Estatuto Tributario que define los tiempos de retención, no tiene valores secundarios."
subserie_42,"04","Declaraciones de Retención en la Fuente",gestion_documentos.serie_17,1,42,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, contables y fiscales, valorados con el artículo 28 de la Ley 962 de 2005, el Artículo 632 del Estatuto Tributario que define los tiempos de retención, no tiene valores secundarios."
subserie_43,"05","Declaraciones del Impuesto al Valor Agregado - Iva",gestion_documentos.serie_17,1,43,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro. <br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, contables y fiscales, valorados con el artículo 28 de la Ley 962 de 2005, el Artículo 632 del Estatuto Tributario que define los tiempos de retención, no tiene valores secundarios."
